rule_id,base_score,tier,reasoning
kingfisher.azureopenai.host.1,10,info,"Azure OpenAI endpoint hostname (*.openai.azure.com). Not a credential. Reveals which Azure OpenAI instances an organization uses. Required for live validation of co-located API keys. Marked visible:false in YAML. Info tier."
kingfisher.azuresearch.key.1,55,medium,"Azure Cognitive Search query key (52-character uppercase alphanumeric). Query keys grant read-only search access to an Azure Search index — cannot modify data or index configuration. Scored medium: read access may expose PII or sensitive indexed content but write/admin operations require separate admin keys. Impact bounded by index contents."
kingfisher.azuresearch.url.1,10,info,"Azure Search service URL (*.search.windows.net/indexes/index-name). Identifier revealing the search service and index name. Required for live validation pairing with the search key. Not itself a credential. Info tier."
kingfisher.azurestorage.1a,8,info,"Azure Storage account name extracted from a connection string (AccountName= pattern). A storage account name is a public DNS-resolvable identifier. Not a credential. Marked visible:false in YAML. Used as a dependency for azurestorage.2 validation. Info tier."
kingfisher.azurestorage.1b,8,info,"Azure Storage account name extracted from a blob endpoint URL (accountname.blob.core.windows.net). Public DNS-resolvable identifier. Not a credential. Marked visible:false in YAML. Info tier."
kingfisher.azurestorage.1c,8,info,"Azure Storage account name extracted from a labeled variable (azure_storage_name=...). Same risk profile as 1a and 1b — a public identifier enabling targeting but not itself a credential. Marked visible:false in YAML. Info tier."
kingfisher.azurestorage.2,87,critical,"Azure Storage account key (86-88 base64 characters). Master key for an Azure Storage account granting full read/write/delete access to all Blobs, Queues, Tables, and Files in that account. Analogous to AWS secret access key for a specific storage account. Storage often contains backups, application data, logs, and secrets. Critical tier."
kingfisher.gcp.1,92,critical,"GCP service account JSON credentials (detected by auth_provider_x509_cert_url field). A complete long-lived credential set that can be used to impersonate the service account and access any GCP resource the account has IAM permissions for. These credentials have no expiry by default and can grant project-wide or org-wide access. Highest-severity GCP secret type."
kingfisher.gcp.3,45,medium,"LOW CONFIDENCE: GCP private key ID (35-40 lowercase hex characters in gcp_key/gcp_secret context). A key ID alone does not grant access — the private key material is separate. However it identifies a specific service account key useful for targeting or verifying whether a stolen private key is still active. Scored medium because context keyword 'secret' suggests proximity to real credentials."
np.gcs.1,20,low,"Google Cloud Storage bucket URL (subdomain-style: bucket.storage.googleapis.com). Bucket name identifier enabling reconnaissance and potential access to misconfigured publicly-accessible buckets. Not a credential. Slightly above info because GCS bucket name exposure is a common first step in cloud data breach discovery."
np.gcs.2,20,low,"Google Cloud Storage bucket URL (path-style: storage.googleapis.com/bucket). Same risk profile as np.gcs.1 — a bucket name identifier enabling enumeration of GCS contents if the bucket ACL is misconfigured. Not a credential."
np.age.1,5,info,"Age Recipient is an X25519 public key — no secret material, cannot decrypt data. YAML categorizes as identifier not secret."
np.age.2,85,critical,"Age Identity (X25519 secret key). Possessing it decrypts all ciphertext encrypted to the corresponding recipient."
kingfisher.coinbase.1,85,critical,"Coinbase Access Token bearer token validated against api.coinbase.com/v2/user; likely grants trading permissions — full account takeover."
kingfisher.coinbase.2,90,critical,"Coinbase CDP API Key (ECDSA): captures org key name + raw EC private key PEM. Can sign all CDP transactions."
kingfisher.coinbase.3,90,critical,"Coinbase CDP API Key (Ed25519): captures key UUID + raw 64-byte Ed25519 private key. Same full-signing impact as ECDSA variant."
np.pwhash.1,50,medium,"MD5crypt ($1$). MD5 cracks at billions/sec on GPU; high recovery probability depending on password strength."
np.pwhash.2,35,low,"bcrypt ($2a/b/x/y$). Designed to be slow; cost factor makes cracking expensive. Short/common passwords still at risk."
np.pwhash.3,40,low,"SHA256crypt ($5$). Stronger than md5crypt with configurable rounds; standard in Linux shadow. Moderate cracking resistance."
np.pwhash.4,40,low,"SHA512crypt ($6$). Better digest than sha256crypt; common in modern Linux shadow files. Moderate resistance."
np.pwhash.5,45,medium,"Cisco IOS PBKDF2-SHA256 ($8$). Strong KDF but success yields network device admin — elevated impact context."
kingfisher.1password.1,90,critical,"1Password Service-Account Token (ops_eyJ...) unlocks all vaults accessible to the service account — master key for stored credentials."
kingfisher.1password.2,75,high,"1Password Account Secret Key. One of two auth factors; alone insufficient, but combined with weak/reused master password enables full takeover."
np.pem.1,92,critical,"Generic PEM private key (RSA/DSA/OPENSSH/EC). Full unencrypted private key — identity impersonation, TLS decryption, anything the cert trusts."
np.pem.2,90,critical,"Base64-double-encoded PEM private key (Kubernetes-style). Decodes to identical impact as np.pem.1; extra encoding layer is not a security control."
kingfisher.privkey.1,80,critical,"Encrypted RSA private key (Proc-Type: 4,ENCRYPTED). Passphrase provides partial protection; weak/nearby passphrases likely. Low-end critical."
kingfisher.privkey.2,90,critical,"Broad PEM private key (RSA/PGP/DSA/OPENSSH/ENCRYPTED/EC). Unencrypted key material for all major types; full signing/decryption capability."
np.wireguard.1,90,critical,"WireGuard PrivateKey. Enables full peer impersonation on VPN; decrypt all tunneled traffic, access entire private network segment."
np.wireguard.2,75,high,"WireGuard PresharedKey. Weakens quantum-resistance layer but does not alone break the tunnel — peer private key still required for handshake."
kingfisher.bitly.1,45,medium,"URL shortener access token — not a payment service; grants account control and link management but no financial exposure."
kingfisher.duffel.1,82,critical,"Travel/flights booking API that is payment-capable; compromised token can book flights and incur real financial charges."
kingfisher.easypost.1,80,critical,"Shipping carrier API that creates paid labels and incurs real postage costs; direct financial impact on account holder."
kingfisher.finicity.1,75,high,"Financial data aggregation API token (similar to Plaid); grants read access to linked bank/investment account data."
kingfisher.finicity.2,75,high,"Finicity OAuth client secret; used to authenticate financial data API requests; same risk profile as the API token."
kingfisher.gocardless.1,83,critical,"Direct-debit payment API; compromised token can initiate real bank debits and move money; full payment capability."
kingfisher.gumroad.1,60,medium,"Creator platform access token; grants account management and sales data access but limited direct financial movement."
kingfisher.lob.1,55,medium,"Lob secret API key for programmatic mail/print service; can trigger paid mailings and incur real costs."
kingfisher.lob.2,30,low,"Lob publishable (client-side) API key; restricted permissions compared to secret key; lower risk suitable for front-end use."
kingfisher.paypal.1,15,info,"PayPal OAuth Client ID — public identifier used in OAuth flows; not a secret and not sufficient alone to authorize transactions."
kingfisher.paypal.2,85,critical,"PayPal OAuth Secret — live payment credential; combined with client ID grants full ability to initiate payments and access account data."
kingfisher.paystack.1,85,critical,"Paystack live API key; full payment processing capability including charging cards and initiating transfers."
kingfisher.plaid.1,15,info,"Plaid Client ID — non-secret public identifier; per guidance this is info-level and insufficient alone to access financial data."
kingfisher.plaid.2,90,critical,"Plaid Production secret; grants access to live financial institution data and transaction history."
kingfisher.plaid.3,40,medium,"Plaid Sandbox secret; no real financial data but indicates Plaid integration and pattern exposure."
kingfisher.plaid.4,88,critical,"Plaid Production access token; grants direct access to a specific end-user's live bank account data; critical financial and privacy impact."
kingfisher.plaid.5,25,low,"Plaid Sandbox access token; tied to synthetic test data only; no real user financial data accessible."
np.razorpay.1,85,critical,"Razorpay live API key; full payment processing including charges and payouts in production."
np.razorpay.2,50,medium,"Razorpay test API key; no real money movement but confirms integration and leaks key naming patterns."
kingfisher.shippo.1,60,medium,"Shippo shipping label API token; can create paid shipping labels incurring real postage costs."
np.square.1,85,critical,"Square live access token; grants full payment processing, refunds, and account management capabilities."
np.square.2,83,critical,"Square OAuth Secret; used to obtain live access tokens via OAuth; compromised secret enables impersonation and live payment access."
np.stripe.1,90,critical,"Stripe live API key; full charge, refund, and customer data access in production environment."
np.stripe.2,50,medium,"Stripe test API key; no real money but leaks integration details and test data."
np.atlassian.1,65,high,"Atlassian Cloud API token grants broad access to Jira/Confluence/Trello workspaces; tied to user identity with org-level read/write across projects and potentially admin APIs."
np.bitbucket.1,65,high,"Bitbucket app password substitutes full account credentials for API and Git operations; scope includes repo read/write and may include admin and pipeline access."
np.gitalk.1,48,medium,"Gitalk OAuth client_id+client_secret pair enables GitHub OAuth impersonation for comment auth; client_secret elevates from mere identifier but scope is limited to issue commenting workflows."
np.github.1,75,high,"Classic GitHub PAT (ghp_ prefix) typically carries broad repo-write scopes plus read:org and other grants chosen at creation; no fine-grained restriction enforced by design."
np.github.2,70,high,"GitHub OAuth access token (gho_ prefix) is user-scoped to the authorizing account's granted scopes; can include repo-write and admin:org depending on app's requested permissions."
np.github.3,85,critical,"GitHub App installation token (ghu_/ghs_ prefix) can hold org-admin or all-repos write if App was installed with broad permissions; server-to-server tokens are machine-level and hard to trace."
np.github.4,50,medium,"GitHub refresh token (ghr_ prefix) cannot directly authenticate API calls; must be exchanged for an access token requiring the client_secret as well — reduces standalone exploitability."
np.github.5,15,info,"GitHub OAuth Client ID is a public identifier intentionally exposed in browser-visible OAuth flows; alone it grants no access and poses no direct secret exposure risk."
np.github.6,85,critical,"GitHub App client secret authenticates the App itself; combined with Client ID enables token minting, OAuth code exchange, and webhook validation — full App-level compromise."
np.github.7,65,high,"Fine-grained GitHub PAT (github_pat_ prefix) is narrowly scoped by design to selected repos and specific permissions; lower blast radius than classic PAT but still source-control write access."
np.gitlab.1,70,high,"GitLab runner registration token allows registering a new CI runner to a project or group; attacker gains code execution in all future pipelines and access to CI secrets and artifacts."
np.gitlab.2,72,high,"GitLab Personal Access Token with api scope grants full REST API access including repo read/write, user impersonation possibilities, and group membership management."
np.gitlab.3,65,high,"GitLab pipeline trigger token initiates arbitrary pipeline runs on a project; enables code execution in CI environment, exfiltration of CI variables, and supply chain interference."
np.gitlab.4,68,high,"GitLab Routable PAT routes to a specific self-managed/Dedicated instance; carries same repo and API risks as a standard GitLab PAT."
kingfisher.gitter.1,45,medium,"Gitter access token authenticates to the Gitter/Matrix chat API; grants read/write to chat rooms for that user but limited to messaging — no source code or admin access."
np.appcenter.1,65,high,"Mobile CI/CD admin token; can modify build pipelines and distribute app binaries to test devices or stores."
np.artifactory.1,70,high,"Universal artifact repository API key; can publish/overwrite packages across all registered repos — supply-chain risk."
np.browserstack.1,50,medium,"Cloud browser/device testing credential; no code-publish capability but grants access to test infrastructure."
kingfisher.buildkite.1,65,high,"CI/CD platform API key; can trigger builds and modify pipeline configuration."
kingfisher.circleci.1,65,high,"CircleCI personal access token; full CI admin rights including pipeline modification and secret access."
kingfisher.circleci.2,65,high,"CircleCI project token; scoped CI admin — can trigger builds and read environment variables."
kingfisher.clojars.1,40,low,"Clojars username alone; identifier-level exposure with no direct credential — requires paired token to act."
kingfisher.clojars.2,65,high,"Clojars API token; can publish Clojure packages to the public registry — supply-chain risk."
kingfisher.codacy.1,50,medium,"Code quality analysis API key; can upload coverage and read results but no code-publish capability."
np.codeclimate.1,20,info,"CodeClimate reporter ID; a project identifier used to route coverage uploads — low sensitivity."
kingfisher.codecov.1,50,medium,"Codecov access token; used to upload coverage reports; exposure could allow falsified coverage data."
kingfisher.coderabbit.1,55,medium,"PR automation AI review API key; can interact with PRs but no direct pipeline or publish rights."
kingfisher.coveralls.1,20,info,"Coveralls repo identifier; a non-secret project identifier used to route coverage uploads."
kingfisher.coveralls.2,50,medium,"Coveralls personal API token; grants coverage reporting access across all user repos but no publish rights."
np.cratesio.1,70,high,"crates.io API token; can publish Rust crates to the public registry — direct supply-chain risk."
np.cypress.1,50,medium,"Cypress record key; allows uploading test recordings to Cypress Cloud — no code-publish capability."
kingfisher.docker.1,70,high,"Docker registry auths JSON with embedded credentials; can push malicious images to any configured registry."
np.dockerhub.1,70,high,"Docker Hub PAT; can push images to Docker Hub public/private repos — significant supply-chain risk."
kingfisher.drone.1,65,high,"DroneCI access token; can trigger pipelines and modify CI configuration."
np.gradle.1,65,high,"Hardcoded Gradle credentials; typically repo-upload credentials for Artifactory/Maven — enables malicious package publishing."
kingfisher.infracost.1,45,medium,"Infracost API token; used for cloud cost estimation — no infrastructure modification capability."
np.jenkins.1,70,high,"Jenkins token or crumb; grants CI system control including build triggering and pipeline modification."
np.jenkins.2,75,high,"Jenkins setup admin password; full administrative access including plugin install and credential access."
kingfisher.mergify.1,55,medium,"Mergify PR automation API key; can merge/close PRs and modify merge rules — elevated but not full CI admin."
np.npm.1,75,high,"NPM fine-grained access token; can publish packages to npm registry — high supply-chain risk affecting millions of users."
np.nuget.1,70,high,"NuGet API key; can publish .NET packages to nuget.org — direct supply-chain risk."
kingfisher.packagecloud.1,65,high,"PackageCloud API key; can publish packages to private/public repositories — supply-chain risk."
kingfisher.pulumi.1,70,high,"Pulumi API key; grants infrastructure automation access — can provision/destroy cloud resources."
np.pypi.1,75,high,"PyPI upload token; can publish Python packages to PyPI — high supply-chain risk affecting millions of users."
np.rubygems.1,70,high,"RubyGems API key; can publish gems to rubygems.org — direct supply-chain risk."
np.sauce.1,50,medium,"SauceLabs test infrastructure token; grants access to cloud browser/device testing — no code-publish capability."
kingfisher.scalingo.1,70,high,"Scalingo PaaS API token; full app deployment control including env vars and scaling — Heroku-like PaaS."
kingfisher.snyk.1,55,medium,"Snyk API key; vulnerability scanning — can read code analysis results but limited write/publish capability."
kingfisher.sonarcloud.1,50,medium,"SonarCloud API token; code quality analysis — can upload scan results but no code-publish capability."
np.sonarqube.1,50,medium,"SonarQube token; self-hosted code quality scanner — can modify analysis config and read results."
np.stackhawk.1,55,medium,"StackHawk DAST API key; dynamic application security testing — can trigger scans but no pipeline/publish control."
np.teamcity.1,65,high,"TeamCity API token; full CI system access including build triggering and configuration modification."
kingfisher.travisci.1,65,high,"Travis CI token; CI platform credential enabling pipeline control, secret access, and build triggering."
kingfisher.travisci.2,65,high,"Travis CI encrypted variable; contains sensitive CI secrets — exposure reveals protected environment values."
kingfisher.asana.1,15,info,"Asana Client ID is a public OAuth identifier — not a secret; no access granted on its own."
kingfisher.asana.2,60,medium,"Asana Client Secret enables OAuth token exchange; exposure allows app impersonation but requires redirect URI pairing."
kingfisher.asana.3,62,medium,"Asana OAuth/Personal Access Token grants read/write to user's tasks and projects; typical SaaS user-level API key."
np.calendly.1,45,medium,"Calendly Personal Access Token provides read/write to scheduling data; limited blast radius — no payment or infra access."
kingfisher.discord.1,40,medium,"Discord Webhook URL allows write to a specific channel only; no read access or account takeover possible."
kingfisher.discord.2,65,high,"Discord Bot Token grants full bot permissions (messages, member data, server management) per granted scopes."
kingfisher.discord.3,10,info,"Discord Bot ID is a public numeric identifier — not a credential; no access granted."
kingfisher.jira.1,10,info,"Jira Domain (e.g., company.atlassian.net) is a public URL identifier — not a secret."
kingfisher.jira.2,62,medium,"Jira API Token grants user-level access to issues, projects, and boards; equivalent to a SaaS user credential."
kingfisher.lark.1,65,high,"LarkSuite Tenant Access Token provides org-wide API access; can enumerate users, messages, and files across the tenant."
kingfisher.lark.2,62,medium,"LarkSuite User Access Token acts on behalf of a specific user; read/write to that user's messages and data."
kingfisher.lark.3,58,medium,"LarkSuite App Access Token scoped to app permissions; functional but limited to granted app scopes."
kingfisher.line.1,55,medium,"Line Messaging API Token enables send/receive messages via a bot channel; moderate impact, limited to bot scope."
kingfisher.linear.1,62,medium,"Linear API Key grants read/write to issues, projects, and team data; typical project management SaaS token."
kingfisher.mattermost.1,10,info,"Mattermost URL is a server address — a public endpoint identifier, not a credential."
kingfisher.mattermost.2,70,high,"Mattermost Access Token provides broad API access to channels, messages, and user data; equivalent to Slack bot token."
kingfisher.mattermost.3,45,medium,"Mattermost Incoming Webhook URL allows write to a specific channel only; no read or account access."
np.mattermost.1,70,high,"Mattermost Personal Access Token acts as a full user credential; read/write across all accessible channels and data."
kingfisher.messagebird.1,65,high,"MessageBird API Token is a server-side key enabling SMS/voice send and account management; high abuse potential for phishing/spam."
np.msteams.1,45,medium,"Microsoft Teams Webhook allows posting to a specific channel; write-only to one endpoint, no read or broader M365 access."
kingfisher.microsoftteamswebhook.1,45,medium,"Microsoft Teams Webhook (different file) — same semantics as np.msteams.1; write to one channel only."
kingfisher.monday.1,60,medium,"Monday.com API Key grants read/write to boards, items, and automation; typical project management SaaS key."
kingfisher.notion.1,55,medium,"Notion Legacy Token (internal integration token) grants access to shared pages/databases; legacy format, moderate scope."
kingfisher.notion.2,58,medium,"Notion Token (integration token) grants read/write to explicitly shared workspace content; limited by sharing scope."
kingfisher.notion.3,62,medium,"Notion OAuth Refresh Token can generate new access tokens indefinitely; persistent access risk slightly higher than regular token."
kingfisher.sendbird.1,15,info,"Sendbird Application ID is a public identifier used in client SDKs — not a secret; no server-side access."
kingfisher.sendbird.2,65,high,"Sendbird API Token is a server-side master key; grants full access to users, channels, and messages across the app."
np.slack.2,70,high,"Slack Bot Token (xoxb-) grants API access scoped to bot permissions; can read channels, post messages, access user data."
np.slack.4,75,high,"Slack User Token (xoxp-) acts as a real user; broader permissions than bot token including DMs and user-level actions."
np.slack.5,55,medium,"Slack App Token (xapp-) used for Socket Mode connections; scoped to app-level socket access, not full workspace data."
np.slack.6,65,high,"Slack Legacy Bot Token older format with broad implicit permissions; no granular OAuth scopes, higher risk than modern bot tokens."
np.slack.7,45,medium,"Slack Workflow Webhook triggers a specific workflow step; scoped write action only, limited blast radius."
np.slack.8,45,medium,"Slack Trigger URL invokes a specific Slack workflow trigger; write-only to defined workflow, no read access."
np.slack.3,45,medium,"Slack Webhook URL posts to a specific channel; write-only, no read or broader workspace access."
np.telegram.1,55,medium,"Telegram Bot Token grants full control of a bot account; can read messages in groups the bot is added to and send messages."
kingfisher.ai21studio.1,50,medium,"AI21 Studio API key; quota-limited LLM provider with moderate billing exposure."
np.anthropic.1,70,high,"Anthropic API key (sk-ant-api prefix); Claude Opus usage is expensive and a leaked key enables significant cost accrual; major LLM provider."
kingfisher.baseten.1,55,medium,"Baseten API key; model deployment/inference platform with billing exposure."
kingfisher.cerebras.1,55,medium,"Cerebras AI API key; fast inference hardware provider; billing risk exists but smaller customer base."
kingfisher.cohere.1,60,medium,"Cohere API key; established NLP/LLM provider with enterprise usage; quota-based billing means compromise can drive meaningful costs."
kingfisher.deepseek.1,55,medium,"DeepSeek API key; growing LLM provider with pay-per-token billing; moderate cost exposure."
kingfisher.fireworks.1,55,medium,"Fireworks.ai API key; fast inference API for open models; pay-per-token billing."
kingfisher.friendli.1,55,medium,"Friendli.ai API key; LLM inference provider with per-token billing; moderate financial exposure."
np.groq.1,50,medium,"Groq API key; ultra-fast inference but currently generous free tier and rate limits reduce worst-case billing exposure."
np.huggingface.1,60,medium,"HuggingFace User Access Token; can access and pull private models and datasets; enables IP theft of proprietary models."
kingfisher.mistral.1,60,medium,"Mistral AI API key; European LLM provider with pay-per-token commercial API."
kingfisher.ollama.1,50,medium,"Ollama hosted API key; primarily local/self-hosted tool but hosted service keys carry moderate billing risk."
np.openai.1,70,high,"OpenAI API key; GPT-4/o1 usage is expensive with high per-token costs; one of the highest financial exposure AI keys; widely targeted."
kingfisher.openrouter.1,65,high,"OpenRouter API key; proxies to many LLMs including expensive frontier models; aggregated billing across providers makes cost exposure significant."
kingfisher.perplexity.1,58,medium,"Perplexity AI API key; search-augmented LLM with per-request billing."
kingfisher.replicate.1,65,high,"Replicate API token; runs diverse ML models on-demand with per-second GPU billing; high cost exposure."
kingfisher.runway.1,65,high,"Runway API key; video generation AI is computationally expensive with high per-second billing."
kingfisher.stabilityai.1,60,medium,"Stability AI API key; image generation with per-image billing; moderate-high cost exposure."
kingfisher.together.1,55,medium,"Together.ai API key; open-source model inference with per-token billing; moderate cost exposure."
kingfisher.vastai.1,70,high,"Vast.ai API key; GPU compute rental marketplace; direct money loss on compromise as attacker can spin up expensive GPU instances."
kingfisher.xai.1,65,high,"xAI (Grok) API key; Grok model inference with per-token billing; high-profile provider."
kingfisher.zhipu.1,50,medium,"Zhipu (BigModel) API key; Chinese LLM provider with pay-per-token API."
kingfisher.assemblyai.1,50,medium,"Transcription service API key; per-call billing with quotas but not catastrophic on leak."
kingfisher.clarifai.1,50,medium,"Computer vision API key; per-call billing model; abuse leads to quota exhaustion and unexpected charges."
kingfisher.cursor.1,50,medium,"IDE AI assistant user-scoped integration key; grants access to AI completions and possibly code context."
kingfisher.deepgram.1,50,medium,"Transcription API key; per-call billing with quotas; abuse risks cost amplification."
kingfisher.elevenlabs.1,55,medium,"Voice synthesis API key; elevated due to deepfake audio abuse potential and per-character billing."
kingfisher.exa.1,50,medium,"AI search API key; per-query billing; abuse leads to quota exhaustion."
kingfisher.imagekit.1,50,medium,"Image CDN and transformation private API key; allows media manipulation and upload."
np.jina.1,45,medium,"Embeddings/search foundation API key; per-call billing; low blast radius on leak."
kingfisher.klingai.1,60,medium,"AI video generation secret key; top of medium range due to expensive generation operations."
kingfisher.langchain.1,50,medium,"LangSmith personal access token; grants access to LLM tracing and experiment data which may contain sensitive content."
kingfisher.langchain.2,50,medium,"LangSmith service key; similar to personal token but service-scoped."
kingfisher.pdflayer.1,40,medium,"PDF rendering API key; low-risk utility service; abuse limited to quota exhaustion."
kingfisher.retellai.api_key.1,55,medium,"Voice agent API key; elevated due to potential for fraudulent voice call campaigns using compromised key."
kingfisher.scraperapi.1,45,medium,"Web scraping service key; abuse leads to quota exhaustion and potential IP reputation impact."
np.tavily.1,50,medium,"AI search API key; per-query billing model; abuse leads to quota exhaustion."
kingfisher.voyageai.api_key,45,medium,"Embeddings API key; narrow-scope utility service; per-call billing; low blast radius."
kingfisher.wandb.1,65,high,"Weights and Biases experiment tracking key; grants read/write access to ML project data, model artifacts, training runs, and hyperparameters — exposure can leak proprietary model research."
kingfisher.beamer.1,50,medium,"Changelog/feedback tool; can post announcements but no direct email/SMS send."
kingfisher.customerio.1,60,medium,"Customer.io Tracking API triggers automated email/SMS campaigns."
kingfisher.customerio.2,62,medium,"Customer.io App API Key — broader access: manages campaigns, segments, triggers sends."
np.delighted.1,45,medium,"NPS/survey tool; limited to sending survey invites and reading responses."
kingfisher.eventbrite.1,65,high,"Create/manage events and ticket sales; fraudulent ticket creation, attendee PII exposure."
kingfisher.freshdesk.1,35,low,"Freshdesk Domain identifier only (company.freshdesk.com), not an auth credential."
kingfisher.freshdesk.2,65,high,"Full access to all support tickets, conversations, customer PII."
np.helpscout.1,65,high,"Help Scout OAuth Client Secret enables full mailbox impersonation; all customer support conversations exposed."
kingfisher.intercom.1,55,medium,"Access to contact data and can send in-app/email messages. PII risk and spam vector."
np.iterable.1,60,medium,"Full marketing automation: email, push, SMS sends to user lists."
kingfisher.klaviyo.1,60,medium,"Email/SMS marketing lists and sends; subscriber PII access."
np.mailchimp.1,55,medium,"Bulk email to mailing lists; slightly lower than transactional email due to marketing focus."
np.mailgun.1,65,high,"Full transactional email send from authorized domains; phishing/spam at scale."
kingfisher.mailjet.1,65,high,"SMS API Key; direct per-message cost, SMS phishing and 2FA spoofing."
