rule_id,base_score,tier,reasoning
kingfisher.azureopenai.2,65,high,"Azure OpenAI API key (extended 80-100 char format with JQQJ/AAAB/ACOGk structural markers, high confidence). More reliable detection than kingfisher.azureopenai.1. Same capability — unauthorized OpenAI inference and cost impact — but higher precision justifies higher score within high tier."
kingfisher.azureopenai.host.1,10,info,"Azure OpenAI endpoint hostname (*.openai.azure.com). Not a credential. Reveals which Azure OpenAI instances an organization uses. Required for live validation of co-located API keys. Marked visible:false in YAML. Info tier."
kingfisher.azuresearch.key.1,55,medium,"Azure Cognitive Search query key (52-character uppercase alphanumeric). Query keys grant read-only search access to an Azure Search index — cannot modify data or index configuration. Scored medium: read access may expose PII or sensitive indexed content but write/admin operations require separate admin keys. Impact bounded by index contents."
kingfisher.azuresearch.url.1,10,info,"Azure Search service URL (*.search.windows.net/indexes/index-name). Identifier revealing the search service and index name. Required for live validation pairing with the search key. Not itself a credential. Info tier."
kingfisher.azurestorage.1a,8,info,"Azure Storage account name extracted from a connection string (AccountName= pattern). A storage account name is a public DNS-resolvable identifier. Not a credential. Marked visible:false in YAML. Used as a dependency for azurestorage.2 validation. Info tier."
kingfisher.azurestorage.1b,8,info,"Azure Storage account name extracted from a blob endpoint URL (accountname.blob.core.windows.net). Public DNS-resolvable identifier. Not a credential. Marked visible:false in YAML. Info tier."
kingfisher.azurestorage.1c,8,info,"Azure Storage account name extracted from a labeled variable (azure_storage_name=...). Same risk profile as 1a and 1b — a public identifier enabling targeting but not itself a credential. Marked visible:false in YAML. Info tier."
kingfisher.azurestorage.2,87,critical,"Azure Storage account key (86-88 base64 characters). Master key for an Azure Storage account granting full read/write/delete access to all Blobs, Queues, Tables, and Files in that account. Analogous to AWS secret access key for a specific storage account. Storage often contains backups, application data, logs, and secrets. Critical tier."
kingfisher.gcp.1,92,critical,"GCP service account JSON credentials (detected by auth_provider_x509_cert_url field). A complete long-lived credential set that can be used to impersonate the service account and access any GCP resource the account has IAM permissions for. These credentials have no expiry by default and can grant project-wide or org-wide access. Highest-severity GCP secret type."
kingfisher.gcp.3,45,medium,"LOW CONFIDENCE: GCP private key ID (35-40 lowercase hex characters in gcp_key/gcp_secret context). A key ID alone does not grant access — the private key material is separate. However it identifies a specific service account key useful for targeting or verifying whether a stolen private key is still active. Scored medium because context keyword 'secret' suggests proximity to real credentials."
np.gcs.1,20,low,"Google Cloud Storage bucket URL (subdomain-style: bucket.storage.googleapis.com). Bucket name identifier enabling reconnaissance and potential access to misconfigured publicly-accessible buckets. Not a credential. Slightly above info because GCS bucket name exposure is a common first step in cloud data breach discovery."
np.gcs.2,20,low,"Google Cloud Storage bucket URL (path-style: storage.googleapis.com/bucket). Same risk profile as np.gcs.1 — a bucket name identifier enabling enumeration of GCS contents if the bucket ACL is misconfigured. Not a credential."
